Room 0 0 Es_ist_ein_schoener_Tag! Bucket <item2> <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 0 1 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 0 2 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 0 3 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 0 4 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 0 5 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 0 6 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 0 7 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 0 8 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 0 9 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 1 0 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 1 1 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 1 2 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 1 3 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 1 4 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 1 5 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 1 6 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 1 7 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 1 8 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 1 9 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 2 0 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 2 1 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 2 2 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 2 3 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 2 4 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 2 5 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 2 6 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 2 7 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 2 8 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 2 9 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 3 0 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 3 1 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 3 2 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 3 3 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 3 4 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 3 5 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 3 6 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 3 7 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 3 8 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
Wall 3 9 Es_ist_ein_wunderschoener_schoener_Tag! Sword Bucket <item3> <item4> <item5> <item6> <item7> <item8> <item9> <item10>
